101,manhattan
102,manhattan
103,manhattan
104,manhattan
105,manhattan
106,manhattan
107,manhattan
108,manhattan
109,manhattan
110,manhattan
111,manhattan
112,manhattan
201,bronx
202,bronx
203,bronx
204,bronx
205,bronx
206,bronx
207,bronx
208,bronx
209,bronx
210,bronx
211,bronx
212,bronx
301,brooklyn
302,brooklyn
303,brooklyn
304,brooklyn
305,brooklyn
306,brooklyn
307,brooklyn
308,brooklyn
309,brooklyn
310,brooklyn
311,brooklyn
312,brooklyn
313,brooklyn
314,brooklyn
315,brooklyn
316,brooklyn
317,brooklyn
318,brooklyn
401,queens
402,queens
403,queens
404,queens
405,queens
406,queens
407,queens
408,queens
409,queens
410,queens
411,queens
412,queens
413,queens
414,queens
501,staten island
502,staten island
503,staten island